tokens_tags,frequency
जाती_VAUX,338
अपरूपण_NN,1
गुणांक_NN,1
सदा_RB,10
धनात्मक_JJ,1
होता_VM,523
बम_JJ,9
विस्फोटों_NN,3
गवली_NN,3
अचानक_RB,8
हिन्दू_XC,53
डोन_NNP,1
जिसे_PRP,274
शिव_XC,27
सेना_NN,100
अपना_VM,3
सकती_VAUX,67
अंजनीकुमार_NN,2
कृपा_NN,10
उनकी_PRP,295
सारी_QF,18
व्यथा_NN,1
नष्ट_JJ,20
कत्चल_XC,1
निकोबार_JJ,15
द्वीपसमूह_NN,55
बोली_VM,60
ऑस्ट्रो_XC,5
एशियाई_RDP,5
भाषाओं_NN,71
निकोबारी_JJ,5
शाखा_NN,57
सदस्य_NN,222
स्टार_XC,42
प्लस_NN,21
कार्यक्रम_NN,74
पारिवारिक_JJ,10
पृष्ठभूमियों_NN,1
बने_VM,96
होते_VAUX,11
जिनमें_PRP,104
अधिकांशतः_RB,3
महिला_NN,101
भूमिका_NN,182
होती_VM,284
मराठी_JJ,42
सामना_NN,28
दोपहर_NN,4
नामक_JJ,212
अखबार_NN,10
निकाला_VM,14
फ़रवरी_XC,7
2009_QC,169
उस_DEM,170
केस_NN,5
अपनी_PRP,371
पत्नी_NN,43
बेहद_JJ,5
प्रेम_NN,26
फौजी_JJ,2
अफसर_NN,1
मार_VM,18
डालता_VAUX,2
मात्रा_NN,57
स्वल्प_NN,2
भरपूर_JJ,17
लाभ_NN,32
सत्प्रयोजनों_NN,1
उठा_VM,6
लेना_VAUX,2
विशिष्ट_JJ,40
कला_NN,46
2012_QC,274
मे_PSP,281
उन्हे_PRP,14
दर्शनशास्र_NN,1
क्योटो_WQ,2
महिलाओं_NN,37
बैक्टीरिया_NN,4
जनित_JJ,6
संक्रमणों_NN,2
उदाहरण_NN,21
मूत्र_NN,11
पथ_XC,2
संक्रमण_NN,30
क्योंकि_CC,75
10_QC,177
वार्षिक_JJ,26
विकसित_JJ,98
कोयल_NNP,1
दामोदर_XC,1
खड़कई_JJ,1
सुवर्णरेखा_NN,2
लिंब_XC,1
कुंटाल_XC,3
भौतिक_JJ,36
तत्त्व_NN,7
अगर्वाड_NNP,1
केरमेरि_XC,4
आपस_PRP,11
बात_NN,60
1982_QC,52
संस्थान_NN,114
प्रधानाचार्य_NN,1
अधयक्ष_JJ,1
बोर्ड_NN,42
सचिव_NN,18
जयपुर_NNP,36
खेल_NN,95
मैदान_NN,50
फरीदपुर_NNP,5
छिबरामऊ_NN,36
कन्नौज_NN,172
ऐतिहासिक_JJ,100
बदख़्शान_JJ,3
हिस्सा_NN,128
चिन्नदंड्लूरु_NNP,1
कडप_NN,202
मां_XC,7
अम्बाजी_NNP,1
मूल_JJ,118
पीठस्थल_NN,1
कस्बे_NN,19
गब्बर_XC,1
पर्वत_NNP,37
शिखर_NN,42
अच्छा_JJ,30
दृश्य_NN,31
प्रभाव_NN,49
1996_QC,57
1997_QC,61
कई_QF,444
पुरस्कारों_NN,34
अकादमी_NN,18
मनोनीत_JJ,10
प्रतिनिधि_NN,46
कहानियां_NN,18
नरेन्द्र_XC,21
कोहली_NNP,18
रचित_JJ,367
कहानी_NN,151
संग्रह_NN,197
गत_JJ,4
घटना_NN,30
आगे_NST,79
बढ़ाती_VM,4
जिसमें_PRP,315
ऑटोबाॅट्स_NN,1
सहयोगी_JJ,8
अमेरिकी_JJ,196
सैन्य_NN,1
दस्ते_NN,3
ननबायाॅलाॅजिकल_XC,1
एक्सट्राट्रेसटियर्ल्स_XC,1
स्पीसिज_XC,1
ट्रेटी_NNP,1
मानवों_NN,4
एकाधिकृत_JJ,1
परग्रही_JJ,1
ढुंढ़ते_VM,1
जिसके_PRP,305
सिलसिले_NN,3
उनको_PRP,21
42_QC,12
पहले_NST,405
अपोलो_XC,3
11_QC,125
चंद्र_JJ,1
अभियान_NN,22
जुड़े_NNP,29
संदिग्ध_JJ,4
रहस्य_NN,4
पता_JJ,43
चलता_VM,20
इलेक्ट्रॉनिक_JJ,9
पटल_NN,11
आधारित_JJ,172
बड़ा_XC,130
इक्विटी_XC,2
सिक्योरिटी_NNP,2
व्यापार_NN,62
बाजार_NN,42
परिवार_NN,133
हेतु_PSP,56
दस्युकर्म_NN,1
चूनापत्थर_NN,1
कायांतरण_NN,1
संगमरमर_NN,3
बनता_VM,18
सम्मानीय_JJ,1
न्यायधीश_NN,4
श्री_XC,141
आर_XC,39
एस_NNP,22
अंचल_NN,5
साठ_QC,4
मनोरम_JJ,6
ताल_NN,7
स्पेस_XC,10
ओडीसी_NN,1
प्रथम_QO,191
दीर्घाकार_NN,1
फार्मेट_NN,1
चलचित्र_JJ,7
प्रेक्षागृह_NN,4
समय_RDP,6
यंत्र_NN,4
3_QC,344
विमीय_JJ,1
दर्पण_NN,4
जादू_NN,4
अंतरिक्ष_JJ,60
विज्ञान_XC,49
गतिविद्युत_JJ,1
कल्पित_JJ,6
सत्य_NN,20
प्रदर्श_JJ,1
मॉडल_NN,76
माही_JJ,2
गिल_NN,2
ਮ_XC,3
ਾ_XC,14
ਹ_XC,2
ੀ_XC,3
ਗ_XC,1
ਿ_XC,8
ੱ_XC,3
ਲ_NNP,1
अभिनेत्री_NN,150
सत्_XC,4
‍_NNP,174
य_RP,21
नारायण_XC,27
जैसल_NNP,2
पंद्रहवी_JJ,56
विधानसभा_NN,149
रहे_VM,168
रहीं_VAUX,59
19_QC,120
2010_QC,159
परम्बिकुलम_XC,3
वन्य_XC,1
जीवअभयारण्य_NNP,1
390_QC,2
88_QC,5
किलोमीटर_NN,151
150_QC,16
9_QC,224
वर्ग_XC,40
मील_XC,6
टाइगर_XC,9
रिजर्व_NNP,6
